Key,Timestamp,AEDT_Timestamp,Translation
-,00:36.6,00:36.6,Olive-backed Oriole
k,01:01.7,01:01.7,White-throated Treecreeper
k,01:03.7,01:03.7,White-throated Treecreeper
k,01:06.9,01:06.9,White-throated Treecreeper
k,01:09.8,01:09.8,White-throated Treecreeper
k,01:12.2,01:12.2,White-throated Treecreeper
k,01:14.3,01:14.3,White-throated Treecreeper
k,01:17.6,01:17.6,White-throated Treecreeper
k,01:20.5,01:20.5,White-throated Treecreeper
k,01:23.3,01:23.3,White-throated Treecreeper
1,01:24.1,01:24.1,Grey Fantail
k,01:25.4,01:25.4,White-throated Treecreeper
k,01:27.5,01:27.5,White-throated Treecreeper
k,01:29.2,01:29.2,White-throated Treecreeper
k,01:30.6,01:30.6,White-throated Treecreeper
k,01:32.5,01:32.5,White-throated Treecreeper
k,01:34.6,01:34.6,White-throated Treecreeper
k,01:36.6,01:36.6,White-throated Treecreeper
k,01:39.5,01:39.5,White-throated Treecreeper
k,01:41.4,01:41.4,White-throated Treecreeper
k,01:43.3,01:43.3,White-throated Treecreeper
k,01:46.2,01:46.2,White-throated Treecreeper
k,01:48.6,01:48.6,White-throated Treecreeper
k,01:51.2,01:51.2,White-throated Treecreeper
k,01:53.7,01:53.7,White-throated Treecreeper
k,01:56.0,01:56.0,White-throated Treecreeper
k,01:57.5,01:57.5,White-throated Treecreeper
k,01:59.0,01:59.0,White-throated Treecreeper
k,02:00.5,02:00.5,White-throated Treecreeper
k,02:01.9,02:01.9,White-throated Treecreeper
k,02:03.5,02:03.5,White-throated Treecreeper
k,02:04.7,02:04.7,White-throated Treecreeper
k,02:07.0,02:07.0,White-throated Treecreeper
k,02:09.0,02:09.0,White-throated Treecreeper
k,02:12.5,02:12.5,White-throated Treecreeper
k,02:17.8,02:17.8,White-throated Treecreeper
h,02:19.3,02:19.3,White-cheeked Honeyeater
h,02:23.6,02:23.6,White-cheeked Honeyeater
h,02:25.3,02:25.3,White-cheeked Honeyeater
h,02:26.7,02:26.7,White-cheeked Honeyeater
h,02:28.8,02:28.8,White-cheeked Honeyeater
h,02:30.3,02:30.3,White-cheeked Honeyeater
h,02:32.3,02:32.3,White-cheeked Honeyeater
h,02:34.3,02:34.3,White-cheeked Honeyeater
h,02:35.9,02:35.9,White-cheeked Honeyeater
h,02:38.2,02:38.2,White-cheeked Honeyeater
h,02:39.9,02:39.9,White-cheeked Honeyeater
