Key,Timestamp,AEDT_Timestamp,Translation
1,54:45.0,54:45.0,Grey Fantail
1,54:46.6,54:46.6,Grey Fantail
\,54:51.1,54:51.1,Variegated Fairywren
k,54:55.1,54:55.1,White-throated Treecreeper
k,54:56.6,54:56.6,White-throated Treecreeper
[,55:27.5,55:27.5,Superb Fairywren
1,55:34.2,55:34.2,Grey Fantail
l,55:36.5,55:36.5,Willie Wagtail
1,55:39.3,55:39.3,Grey Fantail
1,55:57.8,55:57.8,Grey Fantail
i,56:04.1,56:04.1,Silvereye
i,56:06.7,56:06.7,Silvereye
1,56:10.8,56:10.8,Grey Fantail
1,56:15.2,56:15.2,Grey Fantail
[,56:24.8,56:24.8,Superb Fairywren
1,56:27.9,56:27.9,Grey Fantail
F10,56:41.8,56:41.8,Eastern Spinebill
1,56:49.4,56:49.4,Grey Fantail
[,56:55.0,56:55.0,Superb Fairywren
3,57:06.5,57:06.5,Laughing Kookaburra
F8,57:27.2,57:27.2,Brown Thornbill
1,57:29.1,57:29.1,Grey Fantail
5,57:31.5,57:31.5,Lewin's Honeyeater
F8,57:45.7,57:45.7,Brown Thornbill
9,57:48.6,57:48.6,Mistletoebird
5,57:53.6,57:53.6,Lewin's Honeyeater
1,57:54.8,57:54.8,Grey Fantail
1,58:01.6,58:01.6,Grey Fantail
1,58:02.5,58:02.5,Grey Fantail
1,58:24.6,58:24.6,Grey Fantail
[,58:39.6,58:39.6,Superb Fairywren
l,58:40.4,58:40.4,Willie Wagtail
1,58:49.2,58:49.2,Grey Fantail
`,58:56.8,58:56.8,Golden Whistler
k,59:29.9,59:29.9,White-throated Treecreeper
k,59:43.5,59:43.5,White-throated Treecreeper
k,59:50.0,59:50.0,White-throated Treecreeper
1,59:53.2,59:53.2,Grey Fantail
k,59:54.8,59:54.8,White-throated Treecreeper
k,59:57.4,59:57.4,White-throated Treecreeper
k,59:59.6,59:59.6,White-throated Treecreeper
1,00:00.7,00:00.7,Grey Fantail
k,00:03.5,00:03.5,White-throated Treecreeper
k,00:06.2,00:06.2,White-throated Treecreeper
k,00:09.7,00:09.7,White-throated Treecreeper
k,00:13.1,00:13.1,White-throated Treecreeper
k,00:16.9,00:16.9,White-throated Treecreeper
[,00:21.1,00:21.1,Superb Fairywren
k,00:23.0,00:23.0,White-throated Treecreeper
F4,00:28.8,00:28.8,Black-faced Cuckooshrike
k,00:37.0,00:37.0,White-throated Treecreeper
k,00:49.6,00:49.6,White-throated Treecreeper
F7,00:51.5,00:51.5,Brown Gerygone
F7,00:53.6,00:53.6,Brown Gerygone
F7,00:56.6,00:56.6,Brown Gerygone
k,01:00.7,01:00.7,White-throated Treecreeper
