"Key","Timestamp","AEDT_Timestamp","Translation"
"Escape","2025-01-15 00:53:21.743","2025-01-15 11:53:21.743",NA
"F1","2025-01-15 00:53:22.101","2025-01-15 11:53:22.101",NA
"F2","2025-01-15 00:53:22.421","2025-01-15 11:53:22.421",NA
"F3","2025-01-15 00:53:22.797","2025-01-15 11:53:22.797",NA
"F4","2025-01-15 00:53:23.109","2025-01-15 11:53:23.109",NA
"F5","2025-01-15 00:53:23.437","2025-01-15 11:53:23.437",NA
"F6","2025-01-15 00:53:23.757","2025-01-15 11:53:23.757",NA
"F7","2025-01-15 00:53:24.077","2025-01-15 11:53:24.077",NA
"F8","2025-01-15 00:53:24.421","2025-01-15 11:53:24.421",NA
"F9","2025-01-15 00:53:24.813","2025-01-15 11:53:24.813",NA
"F10","2025-01-15 00:53:25.165","2025-01-15 11:53:25.165",NA
"F11","2025-01-15 00:53:25.541","2025-01-15 11:53:25.541",NA
"F12","2025-01-15 00:53:25.893","2025-01-15 11:53:25.893",NA
"Insert","2025-01-15 00:53:26.309","2025-01-15 11:53:26.309",NA
"`","2025-01-15 00:53:27.213","2025-01-15 11:53:27.213",NA
"1","2025-01-15 00:53:27.509","2025-01-15 11:53:27.509",NA
"2","2025-01-15 00:53:27.797","2025-01-15 11:53:27.797",NA
"3","2025-01-15 00:53:28.101","2025-01-15 11:53:28.101",NA
"4","2025-01-15 00:53:28.461","2025-01-15 11:53:28.461",NA
"5","2025-01-15 00:53:28.813","2025-01-15 11:53:28.813",NA
"6","2025-01-15 00:53:29.149","2025-01-15 11:53:29.149",NA
"7","2025-01-15 00:53:29.477","2025-01-15 11:53:29.477",NA
"8","2025-01-15 00:53:29.805","2025-01-15 11:53:29.805",NA
"9","2025-01-15 00:53:30.125","2025-01-15 11:53:30.125",NA
"0","2025-01-15 00:53:30.445","2025-01-15 11:53:30.445",NA
"-","2025-01-15 00:53:30.773","2025-01-15 11:53:30.773",NA
"=","2025-01-15 00:53:31.181","2025-01-15 11:53:31.181",NA
"Backspace","2025-01-15 00:53:32.677","2025-01-15 11:53:32.677",NA
"Tab","2025-01-15 00:53:33.405","2025-01-15 11:53:33.405",NA
"q","2025-01-15 00:53:33.693","2025-01-15 11:53:33.693",NA
"w","2025-01-15 00:53:33.989","2025-01-15 11:53:33.989",NA
"e","2025-01-15 00:53:34.333","2025-01-15 11:53:34.333",NA
"r","2025-01-15 00:53:34.661","2025-01-15 11:53:34.661",NA
"t","2025-01-15 00:53:34.997","2025-01-15 11:53:34.997",NA
"y","2025-01-15 00:53:35.333","2025-01-15 11:53:35.333",NA
"u","2025-01-15 00:53:35.757","2025-01-15 11:53:35.757",NA
"i","2025-01-15 00:53:36.501","2025-01-15 11:53:36.501",NA
"o","2025-01-15 00:53:36.869","2025-01-15 11:53:36.869",NA
"p","2025-01-15 00:53:37.221","2025-01-15 11:53:37.221",NA
"[","2025-01-15 00:53:37.614","2025-01-15 11:53:37.614",NA
"]","2025-01-15 00:53:38.093","2025-01-15 11:53:38.093",NA
"\","2025-01-15 00:53:38.453","2025-01-15 11:53:38.453",NA
"a","2025-01-15 00:53:41.925","2025-01-15 11:53:41.925","aa"
"s","2025-01-15 00:53:42.213","2025-01-15 11:53:42.213",NA
"d","2025-01-15 00:53:42.533","2025-01-15 11:53:42.533",NA
"f","2025-01-15 00:53:42.885","2025-01-15 11:53:42.885",NA
"g","2025-01-15 00:53:43.237","2025-01-15 11:53:43.237",NA
"h","2025-01-15 00:53:43.589","2025-01-15 11:53:43.589",NA
"j","2025-01-15 00:53:43.965","2025-01-15 11:53:43.965",NA
"k","2025-01-15 00:53:44.317","2025-01-15 11:53:44.317",NA
"l","2025-01-15 00:53:44.677","2025-01-15 11:53:44.677",NA
";","2025-01-15 00:53:45.061","2025-01-15 11:53:45.061",NA
"'","2025-01-15 00:53:45.461","2025-01-15 11:53:45.461",NA
"Enter","2025-01-15 00:53:47.101","2025-01-15 11:53:47.101",NA
"z","2025-01-15 00:54:16.197","2025-01-15 11:54:16.197",NA
"x","2025-01-15 00:54:16.485","2025-01-15 11:54:16.485",NA
"c","2025-01-15 00:54:16.797","2025-01-15 11:54:16.797","cc"
"v","2025-01-15 00:54:17.085","2025-01-15 11:54:17.085",NA
"b","2025-01-15 00:54:17.397","2025-01-15 11:54:17.397","bb"
"n","2025-01-15 00:54:17.701","2025-01-15 11:54:17.701",NA
"m","2025-01-15 00:54:18.029","2025-01-15 11:54:18.029",NA
",","2025-01-15 00:54:18.373","2025-01-15 11:54:18.373",NA
".","2025-01-15 00:54:18.709","2025-01-15 11:54:18.709",NA
"/","2025-01-15 00:54:19.101","2025-01-15 11:54:19.101",NA
"Shift","2025-01-15 00:54:19.861","2025-01-15 11:54:19.861",NA
" ","2025-01-15 00:54:27.365","2025-01-15 11:54:27.365",NA
"Alt","2025-01-15 00:54:28.053","2025-01-15 11:54:28.053",NA
"Control","2025-01-15 00:54:28.509","2025-01-15 11:54:28.509",NA
"ArrowLeft","2025-01-15 00:54:30.413","2025-01-15 11:54:30.413",NA
"ArrowRight","2025-01-15 00:54:30.725","2025-01-15 11:54:30.725",NA
