AEDT_Timestamp,min,sec,Translation,
3:14:02 PM,0,0,Eastern Yellow Robin,next file
,0,1,Eastern Yellow Robin,
,0,2,Eastern Yellow Robin,
,0,3,,
,0,4,,
,0,5,,
,0,6,Eastern Yellow Robin,
,0,7,,
,0,8,,
,0,9,Eastern Yellow Robin,
,0,10,,
,0,11,,
,0,12,,
,0,13,,
,0,14,,
,0,15,Brown Thornbill,
,0,16,,
,0,17,,
,0,18,,
,0,19,,
,0,20,,
,0,21,,
,0,22,,
,0,23,,
,0,24,,
,0,25,,
,0,26,,
,0,27,,
,0,28,,
,0,29,,
,0,30,,
,0,31,,
,0,32,,
,0,33,,
,0,34,,
,0,35,,
,0,36,,
,0,37,,
,0,38,,
,0,39,,
,0,40,,
,0,41,,
,0,42,Eastern Shrike-tit,
,0,43,Eastern Shrike-tit,
,0,44,Eastern Shrike-tit,
,0,45,Eastern Shrike-tit,
,0,46,,
,0,47,,
,0,48,,
,0,49,White-browed Scrubwren,
,0,50,White-browed Scrubwren,
,0,51,White-browed Scrubwren,
,0,52,White-browed Scrubwren,
,0,53,White-browed Scrubwren,
,0,54,White-browed Scrubwren,
,0,55,,
,0,56,,
,0,57,White-throated Treecreeper,
,0,58,White-throated Treecreeper,
,0,59,White-throated Treecreeper,
,1,0,White-throated Treecreeper,
,1,1,Brown Thornbill,
,1,2,Brown Thornbill,
,1,3,Brown Thornbill,
,1,4,,
,1,5,,
,1,6,,
,1,7,,
,1,8,,
,1,9,,
,1,10,,
,1,11,,
,1,12,,
,1,13,,
,1,14,,
,1,15,,
,1,16,,
,1,17,,
,1,18,,
,1,19,,
,1,20,,
,1,21,,
,1,22,,
,1,23,,
,1,24,,
,1,25,,
,1,26,,
,1,27,,
,1,28,,
,1,29,,
,1,30,,
,1,31,,
,1,32,,
,1,33,,
,1,34,,
,1,35,,
,1,36,,
,1,37,,
,1,38,,
,1,39,,
,1,40,,
,1,41,Brown Thornbill,
,1,42,Brown Thornbill,
,1,43,Brown Thornbill,
,1,44,Brown Thornbill,
,1,45,Brown Thornbill,
,1,46,Brown Thornbill,
,1,47,Brown Thornbill,
,1,48,Brown Thornbill,
,1,49,Brown Thornbill,
,1,50,Brown Thornbill,
,1,51,Brown Thornbill,
,1,52,Brown Thornbill,
,1,53,Brown Thornbill,
,1,54,Brown Thornbill,
,1,55,,
,1,56,Brown Thornbill,
,1,57,Brown Thornbill,
,1,58,Brown Thornbill,
,1,59,Brown Thornbill,
,2,0,Brown Thornbill,
,2,1,Brown Thornbill,
,2,2,Brown Thornbill,
,2,3,,
,2,4,,
,2,5,,
,2,6,,
,2,7,,
,2,8,,
,2,9,,
,2,10,,
,2,11,Brown Thornbill,
,2,12,Brown Thornbill,
,2,13,Brown Thornbill,
,2,14,Brown Thornbill,
,2,15,Brown Thornbill,
,2,16,,
,2,17,,
,2,18,Brown Thornbill,
,2,19,Brown Thornbill,
,2,20,,
,2,21,,
,2,22,,
,2,23,,
,2,24,,
,2,25,,
,2,26,,
,2,27,,
,2,28,,
,2,29,,
,2,30,,
,2,31,,
,2,32,Brown Thornbill,
,2,33,,
,2,34,,
,2,35,,
,2,36,,
,2,37,,
,2,38,,
,2,39,,
,2,40,,
,2,41,,
,2,42,,
,2,43,,
,2,44,,
,2,45,,
,2,46,,
,2,47,,
,2,48,,
,2,49,,
,2,50,,
,2,51,,
,2,52,,
,2,53,,
,2,54,Brown Gerygone,
,2,55,,
,2,56,,
,2,57,,
,2,58,,
,2,59,,
,3,0,,
,3,1,,
,3,2,,
,3,3,Brown Thornbill,
,3,4,Brown Thornbill,
,3,5,Brown Thornbill,
,3,6,Brown Thornbill,
,3,7,,
,3,8,,
,3,9,Brown Thornbill,
,3,10,Brown Thornbill,
,3,11,,
,3,12,,
,3,13,,
,3,14,,
,3,15,White-throated Treecreeper,
,3,16,,
,3,17,,
,3,18,,
,3,19,,
,3,20,,
,3,21,,
,3,22,,
,3,23,,
,3,24,,
,3,25,,
,3,26,,
,3,27,,
,3,28,,
,3,29,,
,3,30,,
,3,31,,
,3,32,,
,3,33,,
,3,34,,
,3,35,,
,3,36,Brown Gerygone,
,3,37,Brown Gerygone,
,3,38,Brown Gerygone,
,3,39,,
,3,40,Brown Gerygone,
,3,41,,
,3,42,Brown Gerygone,
,3,43,Brown Gerygone,
,3,44,,
,3,45,,
,3,46,Brown Gerygone,
,3,47,Brown Gerygone,
,3,48,,
,3,49,Eastern Spinebill,
,3,50,Eastern Spinebill,
,3,51,Eastern Shrike-tit,
,3,52,Eastern Spinebill,
,3,53,Eastern Spinebill,
,3,54,Eastern Spinebill,
,3,55,,
,3,56,,
,3,57,,
,3,58,,
,3,59,,
,4,0,Eastern Shrike-tit,
,4,1,Eastern Shrike-tit,
,4,2,,
,4,3,,
,4,4,,
,4,5,,
,4,6,,
,4,7,,
,4,8,,
,4,9,,
,4,10,,
,4,11,,
,4,12,,
,4,13,,
,4,14,,
,4,15,,
,4,16,,
,4,17,,
,4,18,,
,4,19,,
,4,20,,
,4,21,,
,4,22,,
,4,23,,
,4,24,,
,4,25,,
,4,26,,
,4,27,,
,4,28,,
,4,29,,
,4,30,,
,4,31,,
,4,32,,
,4,33,White-browed Scrubwren,
,4,34,,
,4,35,,
,4,36,,
,4,37,,
,4,38,,
,4,39,,
,4,40,,
,4,41,,
,4,42,,
,4,43,,
,4,44,,
,4,45,,
,4,46,,
,4,47,,
,4,48,,
,4,49,,
,4,50,,
,4,51,,
,4,52,,
,4,53,,
,4,54,,
,4,55,,
,4,56,,
,4,57,,
,4,58,Eastern Spinebill,
,4,59,,
,5,0,,
,5,1,,
,5,2,,
,5,3,,
,5,4,,
,5,5,,
,5,6,White-throated Treecreeper,
,5,7,White-throated Treecreeper,
,5,8,,
,5,9,,
,5,10,,
,5,11,,
,5,12,,
,5,13,,
,5,14,,
,5,15,,
,5,16,White-browed Scrubwren,
,5,17,,
,5,18,,
,5,19,,
,5,20,,
,5,21,White-browed Scrubwren,
,5,22,White-browed Scrubwren,
,5,23,White-browed Scrubwren,
,5,24,White-browed Scrubwren,
,5,25,White-browed Scrubwren,
,5,26,White-browed Scrubwren,
,5,27,White-browed Scrubwren,
,5,28,White-browed Scrubwren,
,5,29,White-browed Scrubwren,
,5,30,,
,5,31,,
,5,32,,
,5,33,,
,5,34,,
,5,35,,
,5,36,,
,5,37,,
,5,38,,
,5,39,,
,5,40,,
,5,41,,
,5,42,,
,5,43,,
,5,44,,
,5,45,,
,5,46,,
,5,47,,
,5,48,,
,5,49,,
,5,50,,
,5,51,,
,5,52,,
,5,53,,
,5,54,,
,5,55,,
,5,56,,
,5,57,,
,5,58,,
,5,59,,
,6,0,,
,6,1,,
