Key,Name,Species,Frequency
Escape,Australasian Figbird,Sphecotheres vieilloti,43.77%
F1,Australian Magpie,Gymnorhina tibicen,46.79%
F2,Australian Rufous Fantail,Rhipidura rufifrons,38.37%
F3,Bar-shouldered Dove,Geopelia humeralis,23.99%
F4,Black-faced Cuckooshrike,Coracina novaehollandiae,25.78%
F5,Black-faced Monarch,Monarcha melanopsis,34.18%
F6,Brown Cuckoo-Dove,Macropygia phasianella,44.98%
F7,Brown Gerygone,Gerygone mouki,43.74%
F8,Brown Thornbill,Acanthiza pusilla,47.95%
F9,Dusky Woodswallow,Artamus cyanopterus,23.98%
F10,Eastern Spinebill,Acanthorhynchus tenuirostris,38.96%
F11,Eastern Whipbird,Psophodes olivaceus,40.74%
F12,Eastern Yellow Robin,Eopsaltria australis,70.75%
Insert,Forest Raven,Corvus tasmanicus,34.78%
`,Golden Whistler,Pachycephala pectoralis,32.96%
1,Grey Fantail,Rhipidura albiscapa,78.51%
2,Grey Shrikethrush,Colluricincla harmonica,22.17%
3,Laughing Kookaburra,Dacelo novaeguineae,46.19%
4,Leaden Flycatcher,Myiagra rubecula,35.35%
5,Lewin's Honeyeater,Meliphaga lewinii,79.13%
6,Little Lorikeet,Psitteuteles pusillus,25.78%
7,Little Wattlebird,Anthochaera chrysoptera,49.16%
8,Masked Lapwing,Vanellus miles,32.40%
9,Mistletoebird,Dicaeum hirundinaceum,21.58%
0,Noisy Friarbird,Philemon corniculatus,60.54%
-,Olive-backed Oriole,Oriolus sagittatus,43.16%
=,Pacific Koel,Eudynamys orientalis,15.01%
Backspace,Pied Butcherbird,Cracticus nigrogularis,19.81%
Tab,Pied Currawong,Strepera graculina,14.38%
q,Rainbow Lorikeet,Trichoglossus moluccanus,32.99%
w,Red-browed Finch,Neochmia temporalis,59.33%
e,Rufous Whistler,Pachycephala rufiventris,39.55%
r,Sacred Kingfisher,Todiramphus sanctus,35.37%
t,Satin Bowerbird,Ptilonorhynchus violaceus,13.78%
y,Scaly-breasted Lorikeet,Trichoglossus chlorolepidotus,41.37%
u,Scarlet Honeyeater,Myzomela sanguinolenta,46.76%
i,Silvereye,Zosterops lateralis,38.35%
o,Spotted Pardalote,Pardalotus punctatus,13.81%
p,Striated Thornbill,Acanthiza lineata,20.38%
[,Superb Fairywren,Malurus cyaneus,43.75%
],Varied Sittella,Daphoenositta chrysoptera,20.98%
\,Variegated Fairywren,Malurus lamberti,36.56%
a,Welcome Swallow,Hirundo neoxena,40.76%
s,Whistling Kite,Haliastur sphenurus,39.57%
d,White-bellied Sea-Eagle,Icthyophaga leucogaster,31.21%
f,White-breasted Woodswallow,Artamus leucorynchus,34.17%
g,White-browed Scrubwren,Sericornis frontalis,29.38%
h,White-cheeked Honeyeater,Phylidonyris niger,52.77%
j,White-faced Heron,Egretta novaehollandiae,25.80%
k,White-throated Treecreeper,Cormobates leucophaea,55.76%
l,Willie Wagtail,Rhipidura leucophrys,47.95%
;,Wonga Pigeon,Leucosarcia melanoleuca,15.60%
',Yellow Thornbill,Acanthiza nana,48.54%
Enter,Yellow-faced Honeyeater,Caligavis chrysops,46.14%
z,,,
x,,,
c,,,
v,,,
b,,,
n,,,
m,,,
",",,,
.,,,
/,,,
Shift,,,
 ,,,
Alt,,,
Control,,,
ArrowLeft,,,
ArrowRight,,,
